ID,Title,Authors,Publication Date,Journal,DOI
40015334,TEMPORARY REMOVAL: Factor inhibitor testing: An update from Australasia/Asia-Pacific.,"Favaloro EJ, Arunachalam S",2025 Feb 27,Semin Thromb Hemost,10.1055/a-2546-0441
39993436,TEMPORARY REMOVAL: A Potassium Channel-Related Signature for Prognosis and Immune Landscape Prediction of Hepatocellular Carcinoma.,"He X, Lan Y, Li Y",2025 Feb 24,Horm Metab Res,10.1055/a-2545-1439
39915114,Is Your Surgical Helmet System Compromising the Sterile Field? A Systematic Review of Contamination Risks and Preventive Measures in Total Joint Arthroplasty.,"Porto JR, Lavu MS, Hecht CJ 2nd, Kamath AF",2025 Feb 5,Clin Orthop Relat Res,10.1097/CORR.0000000000003383
39806434,Assessing quality of health care in the context of patient satisfaction from patients' perspective among a physical therapy and rehabilitation unit.,Akin T,2025 Jan 13,BMC Health Serv Res,10.1186/s12913-025-12214-w
39715677,Pre-post implementation policy support for warnings on cigarette filters in Canada among adults who smoke cigarettes.,"Hackworth EE, Petillo SL, Sun Y, Vidaña-Pérez D, Moodie C, Niederdeppe J, Hammond D, Thrasher JF",2024 Dec 23,Tob Control,10.1136/tc-2024-059007
39676744,What's in a Name: Your PLEX or PEX Is Our TPE.,"Sahin Z, Christensen A, Guarente J, Vivero A, Karp JK",2024 Dec,J Clin Apher,10.1002/jca.70000
39653313,"Evaluation of the Smartphone-Based Dietary Assessment tool ""Traqq"" for Assessing Habitual Dietary Intake by Random 2-H Recalls in Adults: Comparison with a Food Frequency Questionnaire and Blood Concentration Biomarkers.","Lucassen DA, Brouwer-Brolsma EM, Boshuizen HC, Balvers M, Feskens EJ",2025 Feb,J Nutr,10.1016/j.tjnut.2024.12.002
39534833,Safe Use of Screen Time Among Adolescents: A Randomized Controlled Study of the Efficacy of Yoga.,"Mona M, Kumari S, Anand N, Sharma M",2024 Oct,Cureus,10.7759/cureus.71335
39257527,RCDdb: A manually curated database and analysis platform for regulated cell death.,"Wang X, Wang Q, Zhao J, Chen J, Wu R, Pan J, Li J, Wang Z, Chen Y, Guo W, Li Y",2024 Dec,Comput Struct Biotechnol J,10.1016/j.csbj.2024.08.012
39186498,Stick to your role! Stability of personal values expressed in large language models.,"Kovač G, Portelas R, Sawayama M, Dominey PF, Oudeyer PY",2024,PLoS One,10.1371/journal.pone.0309114
